id	created	userId	walletAddress	usedRaffleCount
243	2023-06-20 01:34:58.401000	921	0xf2b7BFB33c452c865a6a1688374569d665bB8D91	1
244	2023-06-20 01:50:55.394000	1618	0xf008256806552E949df656fDb9482A96255Daa63	1
245	2023-06-20 01:58:39.400000	1615	0x0c9d0951e08295Ea43aAcac8247d58593A66448b	1
246	2023-06-20 02:00:20.435000	832	0xe227E695af2a2c915198E65aA69034Be86c442a7	1
247	2023-06-20 02:12:21.716000	223	0x26022F396fAcaCBE57CdAaDE272ceCE9DfA7Fc91	2
248	2023-06-20 02:39:01.323000	831	0x17bd34BcbDc0eb011174a069C5A6B2dAa0CE83F6	1
249	2023-06-20 02:39:59.671000	15	0x33C0AebE8adc11d1F68B6763f190Ae18b4635E18	2
250	2023-06-20 02:40:13.044000	9	0x5eACCAf4011DAA1b021aca1ECa14C6628A349953	3
251	2023-06-20 02:41:41.049000	587	0x6a22a87Fd121f455d59B9B3E4b1a35E209065Da6	2
252	2023-06-20 02:49:12.903000	336	0x26017220F3FECB85D088Eb81d19bB366D7519901	1
253	2023-06-20 02:51:40.942000	1624	0xAE1A8bDC10C800A7b5c7291c1Ab30ef452656D71	1
254	2023-06-20 02:53:16.942000	1405	0x23043C7434f3Af107B1C4F52d565E16f678C5500	1
255	2023-06-20 02:53:25.704000	881	0x4505593E0D56d396618A0156AC74660819EEeC60	1
256	2023-06-20 03:11:25.387000	357	0xaA0CD688DF3bB2e501165cFF07c9dCE683dE0b88	1
257	2023-06-20 03:20:24.334000	1540	0xF6B22dF67a5129bA88c56BFc727EdDd8eA72E8Db	1
258	2023-06-20 03:23:46.801000	829	0xC5C156143312ff4A7aEcb0F84c5182e44C74B720	1
259	2023-06-20 03:33:25.528000	36	0x199a03c356b17d17df36A42743c98357d634D2D4	2
260	2023-06-20 03:45:51.325000	343	0x96d10190142DB35997BE23c6f6609dE05923e644	1
261	2023-06-20 04:15:08.995000	1604	0x088c98007153d744CfF5D507f06a737B5919d881	1
263	2023-06-20 07:23:52.580000	833	0xC3771319C86C5C74d40458a4e62a79aE55b9F465	2
266	2023-06-20 10:32:05.604000	1345	0x3969E4D8361E8266A27b3865394D53F26fBA2155	1
267	2023-06-20 10:43:27.963000	1445	0x1729EAc907db6745cbC792dD40601Dee7fd2583f	2
268	2023-06-20 10:58:22.812000	24	0x41519a9058e9BDE98c6A2c9b2e2A7c22B7c0Aa4E	3
269	2023-06-20 11:02:24.707000	788	0x36d23D6c0903E2f1A013173481c27246923EF972	2
270	2023-06-20 11:07:48.303000	383	0x25F6931203d115B57d7aF947381bdC9A2478Fd75	1
271	2023-06-20 11:12:52.057000	169	0xd9ede1545a8BF9fA25A7A95188eD4b17Ca7627D7	3
272	2023-06-20 11:14:17.859000	279	0xa4d5E5d72afe379f694b417aBbE294b1bc3f60b5	1
273	2023-06-20 11:17:25.864000	294	0x02A9e61fec7c34ebFc88336F9B5F2BcDbDca4f5c	3
274	2023-06-20 11:18:51.982000	552	0xea775C29965A4f1Cf581eaCE8a2D0595e19B9171	4
275	2023-06-20 11:18:54.183000	1505	0xA162543722bAAE0e940fb1F502fa00f9D4014ad3	1
276	2023-06-20 11:26:35.844000	1606	0x05B8f2C349B34C8a041F4eef70B4621E66FB9533	1
277	2023-06-20 11:26:53.473000	1	0x860488D4a93944868252a00a57dE241c0D69fbd8	8
278	2023-06-20 11:32:13.796000	505	0xBDC79C7A26A99899e31a27EeAABd7B668f0E05Aa	1
279	2023-06-20 11:33:30.382000	794	0x92C3B824f08F2fC046D573803f8e170C1A381Dff	2
280	2023-06-20 11:35:14.551000	517	0x5Fa8ED70EE21cb72541B4f55bF327a5905e07ca6	7
281	2023-06-20 11:36:14.678000	698	0xBB32ce5DeEec8ab0E6dacF02C3D13bE8F5c645F7	5
